fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1380","420115001000",1328A,24013.7058934244,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1381","420115002000",1333A,38616.4937812362,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1382","420115002000",1334A,29487.5287420475,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1383","420115002000",1332A,35249.5182519333,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1384","420115002000",1325A,39504.8976822989,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1385","420115002000",1330A,22019.0311470869,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1386","420115002000",1327A,39348.6563704515,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1387","420115002000",1331A,45603.2619205145,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1388","420115002000",1326A,32783.8207417006,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1389","420115002000",1329A,45123.2496867849,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
