fid,InputID,TargetID
"880","420112014000",1328A
"881","420104009000",1333A
"882","420104009000",1334A
"883","420104009000",1332A
"884","420104009000",1325A
"885","420104009000",1330A
"886","420104009000",1327A
"887","420104009000",1331A
"888","420104009000",1326A
"889","420104009000",1329A
"890","420104009000",1328A
"891","420102012000",1333A
"892","420102012000",1334A
"893","420102012000",1332A
"894","420102012000",1325A
"895","420102012000",1330A
"896","420102012000",1327A
"897","420102012000",1331A
"898","420102012000",1326A
"899","420102012000",1329A
"900","420102012000",1328A
"901","420102010000",1333A
"902","420102010000",1334A
"903","420102010000",1332A
"904","420102010000",1325A
"905","420102010000",1330A
"906","420102010000",1327A
"907","420102010000",1331A
"908","420102010000",1326A
"909","420102010000",1329A
"910","420102010000",1328A
"911","420117012000",1333A
"912","420117012000",1334A
"913","420117012000",1332A
"914","420117012000",1325A
"915","420117012000",1330A
"916","420117012000",1327A
"917","420117012000",1331A
"918","420117012000",1326A
"919","420117012000",1329A
"920","420117012000",1328A
"921","420115008000",1333A
"922","420115008000",1334A
"923","420115008000",1332A
"924","420115008000",1325A
"925","420115008000",1330A
"926","420115008000",1327A
"927","420115008000",1331A
"928","420115008000",1326A
"929","420115008000",1329A
"930","420115008000",1328A
"931","420116007000",1333A
"932","420116007000",1334A
"933","420116007000",1332A
"934","420116007000",1325A
"935","420116007000",1330A
"936","420116007000",1327A
"937","420116007000",1331A
"938","420116007000",1326A
"939","420116007000",1329A
"940","420116007000",1328A
"941","420112005000",1333A
"942","420112005000",1334A
"943","420112005000",1332A
"944","420112005000",1325A
"945","420112005000",1330A
"946","420112005000",1327A
"947","420112005000",1331A
"948","420112005000",1326A
"949","420112005000",1329A
"950","420112005000",1328A
"951","420115015000",1333A
"952","420115015000",1334A
"953","420115015000",1332A
"954","420115015000",1325A
"955","420115015000",1330A
"956","420115015000",1327A
"957","420115015000",1331A
"958","420115015000",1326A
"959","420115015000",1329A
"960","420115015000",1328A
"961","420115014000",1333A
"962","420115014000",1334A
"963","420115014000",1332A
"964","420115014000",1325A
"965","420115014000",1330A
"966","420115014000",1327A
"967","420115014000",1331A
"968","420115014000",1326A
"969","420115014000",1329A
"970","420115014000",1328A
"971","420115009000",1333A
"972","420115009000",1334A
"973","420115009000",1332A
"974","420115009000",1325A
"975","420115009000",1330A
"976","420115009000",1327A
"977","420115009000",1331A
"978","420115009000",1326A
"979","420115009000",1329A
"980","420115009000",1328A
"981","420114004000",1333A
"982","420114004000",1334A
"983","420114004000",1332A
"984","420114004000",1325A
"985","420114004000",1330A
"986","420114004000",1327A
"987","420114004000",1331A
"988","420114004000",1326A
"989","420114004000",1329A
"990","420114004000",1328A
"991","420115003000",1333A
"992","420115003000",1334A
"993","420115003000",1332A
"994","420115003000",1325A
"995","420115003000",1330A
"996","420115003000",1327A
"997","420115003000",1331A
"998","420115003000",1326A
"999","420115003000",1329A
"1000","420115003000",1328A
"1001","420104008000",1333A
"1002","420104008000",1334A
"1003","420104008000",1332A
"1004","420104008000",1325A
"1005","420104008000",1330A
"1006","420104008000",1327A
"1007","420104008000",1331A
"1008","420104008000",1326A
"1009","420104008000",1329A
"1010","420104008000",1328A
"1011","420104012000",1333A
"1012","420104012000",1334A
"1013","420104012000",1332A
"1014","420104012000",1325A
"1015","420104012000",1330A
"1016","420104012000",1327A
"1017","420104012000",1331A
"1018","420104012000",1326A
"1019","420104012000",1329A
"1020","420104012000",1328A
"1021","420104001000",1333A
"1022","420104001000",1334A
"1023","420104001000",1332A
"1024","420104001000",1325A
"1025","420104001000",1330A
"1026","420104001000",1327A
