城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/6/7,48,26,37,1,14,107,7,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/8,51,29,52,1.1,29,82,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/9,34,21,38,1,20,31,6,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/10,35,21,34,0.65,9,53,7,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/11,41,25,38,0.73,11,77,8,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/12,22,11,21,0.84,13,47,6,优,
武汉,沉湖七壕,1334A,2017/6/13,24,9,18,0.66,11,62,7,优,
武汉,沉湖七壕,1334A,2017/6/14,48,24,51,0.8,17,86,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/15,61,43,52,0.65,5,91,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/16,66,41,54,0.63,6,111,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/17,66,44,63,0.77,9,113,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/18,69,45,67,0.9,25,94,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/19,81,58,79,0.97,34,94,12,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/20,72,50,83,1.03,22,88,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/21,56,36,56,0.95,16,97,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/22,37,15,34,0.92,23,85,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/23,35,17,46,0.98,29,27,5,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/24,46,31,45,0.81,14,58,3,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/25,46,30,42,0.66,6,64,3,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/26,36,17,34,0.63,4,97,3,优,
武汉,沉湖七壕,1334A,2017/6/27,43,20,35,0.68,3,123,5,优,臭氧1小时
武汉,沉湖七壕,1334A,2017/6/28,50,22,33,0.75,4,138,3,优,臭氧1小时
武汉,沉湖七壕,1334A,2017/6/29,40,17,34,0.86,5,108,4,优,臭氧1小时
武汉,沉湖七壕,1334A,2017/6/30,17,6,10,0.67,4,50,4,优,
武汉,沉湖七壕,1334A,2017/7/1,13,7,11,0.7,5,37,6,优,
武汉,沉湖七壕,1334A,2017/7/2,23,10,19,0.74,4,65,6,优,
武汉,沉湖七壕,1334A,2017/7/3,35,21,33,0.88,10,71,5,优,
武汉,沉湖七壕,1334A,2017/7/4,24,10,22,0.88,8,49,5,优,
武汉,沉湖七壕,1334A,2017/7/5,26,14,25,0.92,8,49,4,优,
武汉,沉湖七壕,1334A,2017/7/6,28,11,28,0.73,14,55,7,优,
武汉,沉湖七壕,1334A,2017/7/7,36,7,34,0.57,21,56,11,优,
武汉,沉湖七壕,1334A,2017/7/8,37,21,35,0.61,28,36,9,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/9,26,8,24,0.58,18,48,10,优,
武汉,沉湖七壕,1334A,2017/7/10,29,10,29,0.65,10,80,10,优,
武汉,沉湖七壕,1334A,2017/7/11,31,6,29,0.63,17,64,9,优,
武汉,沉湖七壕,1334A,2017/7/12,33,12,33,0.68,13,71,10,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/13,46,24,45,0.74,14,88,13,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/14,49,17,50,0.77,16,90,13,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/15,54,33,50,0.71,20,84,13,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/16,53,37,44,0.75,25,66,13,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/7/17,37,17,37,0.74,20,74,10,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/18,31,11,28,0.72,18,68,10,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/19,28,8,25,0.7,11,66,14,优,
武汉,沉湖七壕,1334A,2017/7/20,29,7,26,0.72,13,76,13,优,
武汉,沉湖七壕,1334A,2017/7/21,35,10,33,0.69,12,88,13,优,臭氧1小时
武汉,沉湖七壕,1334A,2017/7/22,45,13,45,0.66,23,70,13,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/23,45,18,46,0.7,26,76,13,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/24,41,17,42,0.73,13,68,14,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/25,34,11,34,0.72,15,64,14,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/26,47,17,48,0.84,16,71,15,优,颗粒物(PM10)
